map_class_clean,lifeform_clean,forest_lifeform_clean,n_polygons,total_acres,mean_polygon_acres
"Zostera (marina, pacifica) Pacific Aquatic Alliance",Eel Grass,Eel Grass,3,7.946785022313136,2.6489283407710453
Arid West Freshwater Emergent Marsh Group,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,213,403.76195260573,1.8955960216231456
Vancouverian Freshwater Wet Meadow & Marsh Group,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,182,253.74664639227942,1.394212342814722
Western North American Freshwater Aquatic Vegetation Macrogroup,Freshwater Herbaceous Wetland,Freshwater Herbaceous Wetland,1,5.9752694085590505,5.9752694085590505
Mudflat/Dry Pond Bottom Mapping Unit,Mudflat,Mudflat,2481,2916.0454155091397,1.1753508325308906
Salix lasiolepis Alliance,Riparian Forest,Riparian Forest,3332,4656.902858381365,1.3976299094782008
Acer macrophyllum – Alnus rubra Alliance,Riparian Forest,Riparian Forest,1139,2477.025903317216,2.174737404141542
"Cornus sericea – Salix (lasiolepis, exigua) Association",Riparian Forest,Riparian Forest,81,239.35642942696268,2.9550176472464527
Salix lucida ssp. lasiandra Association,Riparian Forest,Riparian Forest,80,190.68810394252228,2.3836012992815285
Alnus rhombifolia Alliance,Riparian Forest,Riparian Forest,50,116.6818514081322,2.333637028162644
Populus trichocarpa Alliance,Riparian Forest,Riparian Forest,18,48.60776313234265,2.700431285130147
Salix gooddingii – Salix laevigata Alliance,Riparian Forest,Riparian Forest,10,44.96714822739382,4.496714822739382
Acer negundo / (Rubus ursinus) Association,Riparian Forest,Riparian Forest,30,39.87998154921747,1.329332718307249
Salix exigua Alliance,Riparian Forest,Riparian Forest,4,10.80123851899013,2.7003096297475326
Juglans hindsii and Hybrids Special Stands and Semi-Natural Alliance,Riparian Forest,Riparian Forest,1,7.410860797331062,7.410860797331062
Quercus agrifolia / Salix lasiolepis Association,Riparian Forest,Riparian Forest,2,3.823367222750942,1.911683611375471
Salix hookeriana – Salix sitchensis – Spiraea douglasii Alliance,Riparian Forest,Riparian Forest,2,1.2772918329223129,0.6386459164611564
Populus fremontii – Fraxinus velutina – Salix gooddingii Alliance,Riparian Forest,Riparian Forest,1,0.9096406762250767,0.9096406762250767
Sarcocornia pacifica (Salicornia depressa) Alliance,Tidal Wetland,Tidal Wetland,2108,3133.243710007338,1.4863584962084146
Spartina foliosa Assocation,Tidal Wetland,Tidal Wetland,653,154.30586786598516,0.23630301357731265
Distichlis spicata Alliance,Tidal Wetland,Tidal Wetland,313,104.09681627457935,0.33257768777820884
Grindelia stricta Provisional Association,Tidal Wetland,Tidal Wetland,402,95.7441293527543,0.23816947600187638
Bolboschoenus maritimus Alliance,Tidal Wetland,Tidal Wetland,111,25.45287465965695,0.22930517711402656
"Cakile (edentula, maritima) Provisional Semi-Natural Alliance",Tidal Wetland,Tidal Wetland,3,5.092529876521797,1.697509958840599
Atriplex prostrata – Cotula coronopifolia Semi-Natural Alliance,Tidal Wetland,Tidal Wetland,5,0.6011954029224384,0.12023908058448769
Water,Water,Water,1647,15002.914067207696,9.109237442141891
